id	cpp_scope	cpp_refs	rust_refs	status	csharp_contamination	dependencies	tests	next_action
CREATURE-P0.001	Creature canonical file inventory	Creature.cpp; Creature.h; CreatureData.h; CreatureGroups.*; GossipDef.*; TemporarySummon.*; Trainer.*; enuminfo_CreatureData.cpp	docs/migration/creature-port-no-gaps-plan.md	represented	no	none	none	Keep this TSV updated for every Creature slice.
CREATURE-P0.002	Movement canonical file inventory	MotionMaster.*; MovementGenerator.*; MovementDefines.h; MovementGenerators/{Random,Waypoint,Home,Formation,Chase,Follow,Fleeing,Confused,Idle,Point,Generic,SplineChain}*.	docs/migration/creature-port-no-gaps-plan.md	represented	no	none	none	Expand rows per symbol before implementing each movement generator.
CREATURE-P1.001	PendingRespawn doc comment	Map.cpp:2187-2225; Creature.cpp:2942-2968	crates/wow-world/src/map_manager.rs:3035	fixed	yes - removed C# reference	none	diff-check	Comment now cites C++ Creature/Map respawn refs only.
CREATURE-P1.002	Trainer handler/module comment	Handlers/NPCHandler.cpp:98-132; Entities/Creature/Trainer.cpp:41-231; Server/Packets/NPCPackets.cpp:163-252	crates/wow-world/src/handlers/trainer.rs:6	needs-code-audit	yes - removed C# reference	trainer store, conditions, spells	diff-check	Protocol/handler comments now cite C++; behavior still needs full Trainer.cpp audit.
CREATURE-P1.003	Trainer packet comments	Server/Packets/NPCPackets.cpp:163-252; Server/Packets/NPCPackets.h:189-266	crates/wow-packet/src/packets/trainer.rs	needs-code-audit	yes - removed C# reference	NPC packet layout	diff-check	Packet comments now cite C++; verify full write/read byte order with tests.
CREATURE-P1.004	QueryCreature packet comments	CreatureData.h:442; Creature.cpp:174-220; Server/Packets/QueryPackets.cpp:63-130	crates/wow-packet/src/packets/query.rs	needs-code-audit	yes - removed C# reference	creature template/query data	diff-check	Comments now cite C++; add golden QueryCreatureResponse tests.
CREATURE-P1.005	Vendor/NPC interaction packet comments	Server/Packets/NPCPackets.cpp:96-160; Server/Packets/ItemPackets.cpp:26-52,130-135,238-247; Handlers/ItemHandler.cpp:567-694	crates/wow-packet/src/packets/misc.rs	needs-code-audit	yes - removed C# reference	item/vendor/trader systems	diff-check	Comments now cite C++; audit VendorInventory/Buy/Sell byte order and conditions.
CREATURE-P1.006	NPC service handler comments	Handlers/AuctionHouseHandler.cpp:192-205,995-1007; Handlers/BankHandler.cpp:60-65,288+; Handlers/NPCHandler.cpp:49-91,373-381; Handlers/ItemHandler.cpp:530-694; Entities/Player/Player.cpp:22362+	crates/wow-world/src/handlers/character.rs	needs-code-audit	yes - removed C# reference	auction, bank, binder, tabard, vendor, player inventory	diff-check	Comments now cite C++; behavior still partial and must be audited before closure.
CREATURE-P1.007	UpdateObject UnitData C# comments	Entities/Object/Object.cpp:131-186,286-431; Entities/Object/Updates/UpdateFields.cpp:650-900	crates/wow-packet/src/packets/update.rs	needs-code-audit	yes - partially removed; remaining C# refs outside Creature path tracked separately	update fields, object visibility, movement create block	diff-check	Creature-affecting UnitData comment now cites C++; full update.rs C# cleanup remains blocking for P7.
CREATURE-P1.008	Legacy world-entry docs claim C# reference	Server/Packets/QueryPackets.cpp; Object.cpp; UpdateFields.cpp; MovementPackets.cpp	docs/world-entry-implementation.md; docs/phase4-analysis-and-fixes.md	contaminated-doc	yes - not fixed in this slice	update object, login sequence, crypto, compression	none	Do not use these docs for Creature decisions until rewritten or marked obsolete against C++.
CREATURE-P2.001	Creature::InitEntry	Creature.cpp:491-575	crates/wow-entities/src/creature.rs; crates/wow-entities/src/unit.rs; crates/wow-world/src/entity_update_bridge.rs; crates/world-server/src/creature_loaded_grid.rs	partial	no	template/difficulty/model/equipment/static flags/speed and haste fields	wow-entities focused; world-server loaded-grid equipment test; lifecycle speed/haste/dual-wield/static-flag/equipment assertions	Walk/run/swim/flight speed-rate, ModCastingSpeed/ModSpellHaste/ModHaste/ModRangedHaste/ModHasteRegen/ModTimeRate, USE_OFFHAND_ATTACK dual-wield, ApplyAllStaticFlags/SESSILE root state, NO_XP, TREAT_AS_RAID_UNIT_FOR_HELPFUL_SPELLS, and selected equipment virtual items now flow through loaded-grid lifecycle from CreatureEquipmentStore. Remaining equipment audit: CreatureData equipment_id=-1 random selection/invalid positive validation belongs to CREATURE-P2.004 LoadFromDB/spawn-store validation.
