# Generated from the linked inventory registry; do not hand-edit rows.
# Refresh deliberately with: cargo test -p wow-world print_world_handler_contract_snapshot --lib -- --ignored --nocapture
opcode_value	opcode_name	handler_name	session_status	packet_processing
0x3060	GuildDeclineInvitation	handle_guild_decline_invitation	LoggedIn	ThreadUnsafe
0x306F	GuildSetAchievementTracking	handle_guild_set_achievement_tracking	LoggedIn	ThreadUnsafe
0x3082	GuildBankLogQuery	handle_guild_bank_log_query	LoggedIn	ThreadUnsafe
0x3083	GuildBankRemainingWithdrawMoneyQuery	handle_guild_bank_remaining_withdraw_money_query	LoggedIn	ThreadUnsafe
0x3086	GuildBankSetTabText	handle_guild_bank_set_tab_text	LoggedIn	ThreadUnsafe
0x3087	GuildBankTextQuery	handle_guild_bank_text_query	LoggedIn	ThreadUnsafe
0x3126	BattlePetClearFanfare	handle_battle_pet_clear_fanfare	LoggedIn	ThreadUnsafe
0x3127	MountClearFanfare	handle_mount_clear_fanfare	LoggedIn	ThreadUnsafe
0x3128	ToyClearFanfare	handle_toy_clear_fanfare	LoggedIn	Inplace
0x3157	BeginTrade	handle_begin_trade	LoggedIn	ThreadUnsafe
0x3158	BusyTrade	handle_busy_trade	LoggedIn	ThreadUnsafe
0x3159	IgnoreTrade	handle_ignore_trade	LoggedIn	ThreadUnsafe
0x315A	AcceptTrade	handle_accept_trade	LoggedIn	ThreadUnsafe
0x315B	UnacceptTrade	handle_unaccept_trade	LoggedIn	ThreadUnsafe
0x315C	CancelTrade	handle_cancel_trade	LoggedInOrRecentlyLogout	ThreadUnsafe
0x315D	SetTradeItem	handle_set_trade_item	LoggedIn	ThreadUnsafe
0x315E	ClearTradeItem	handle_clear_trade_item	LoggedIn	ThreadUnsafe
0x315F	SetTradeGold	handle_set_trade_gold	LoggedIn	ThreadUnsafe
0x3160	SetTradeSpell	handle_set_trade_spell	LoggedIn	ThreadUnsafe
0x316C	SetCurrencyFlags	handle_set_currency_flags	LoggedIn	Inplace
0x3175	BattlefieldLeave	handle_battlefield_leave	LoggedIn	ThreadUnsafe
0x3177	QueryQuestCompletionNpcs	handle_query_quest_completion_npcs	LoggedIn	Inplace
0x3178	QueryQuestItemUsability	handle_unhandled_client_null_like_cpp	Authed	Inplace
0x3179	RequestCemeteryList	handle_request_cemetery_list	LoggedIn	Inplace
0x317A	SetPreferredCemetery	handle_unhandled_client_null_like_cpp	Authed	Inplace
0x317E	RequestHonorStats	handle_request_honor_stats	LoggedIn	ThreadUnsafe
0x3181	BattlefieldList	handle_battlefield_list	LoggedIn	ThreadUnsafe
0x3182	CancelQueuedSpell	handle_cancel_queued_spell	LoggedIn	Inplace
0x3183	ObjectUpdateFailed	handle_object_update_failed	LoggedIn	Inplace
0x3184	ObjectUpdateRescued	handle_object_update_rescued	LoggedIn	Inplace
0x3187	ViolenceLevel	handle_violence_level	Authed	Inplace
0x3189	UsedFollow	handle_used_follow	Authed	Inplace
0x318C	StandStateChange	handle_stand_state_change	LoggedIn	ThreadUnsafe
0x318E	SaveCufProfiles	handle_save_cuf_profiles	LoggedIn	Inplace
0x3196	RequestPvpRewards	handle_request_pvp_rewards	LoggedIn	Inplace
0x31A2	UnlockVoidStorage	handle_void_storage_unlock	LoggedIn	Inplace
0x31A3	QueryVoidStorage	handle_void_storage_query	LoggedIn	Inplace
0x31A4	VoidStorageTransfer	handle_void_storage_transfer	LoggedIn	ThreadUnsafe
0x31A5	SwapVoidItem	handle_void_storage_swap_item	LoggedIn	Inplace
